date,Encoded Products,Monterrey total $,Monterrey ctdad
2022-01-02,11,40461.47,7.0
2022-01-02,6,0.0,0.0
2022-01-02,24,31083.5,3.5
2022-01-02,15,42846.02,7.0
2022-01-02,9,0.0,0.0
2022-01-02,4,35462.35,3.5
2022-01-02,3,9868.145,3.5
2022-01-02,2,0.0,0.0
2022-01-02,23,0.0,0.0
2022-01-02,28,0.0,0.0
2022-01-02,26,0.0,0.0
2022-01-02,13,23648.17,3.5
2022-01-02,14,31951.955,3.5
2022-01-02,18,0.0,0.0
2022-01-02,19,23666.58,7.0
2022-01-02,7,18510.87,3.5
2022-01-02,27,0.0,0.0
2022-01-02,34,28222.565,3.5
2022-01-02,65,23290.085,3.5
2022-01-02,1,10471.195,7.0
2022-01-02,0,15167.95,7.0
2022-01-02,5,31520.02,10.5
2022-01-02,37,42734.895,7.0
2022-01-02,21,23069.795,3.5
2022-01-02,20,30771.3,3.5
2022-01-02,12,65553.95,7.0
2022-01-02,43,32373.95,3.5
2022-01-02,105,0.0,0.0
2022-01-02,79,65930.935,3.5
2022-01-02,16,53339.44,3.5
2022-01-02,8,207726.435,10.5
2022-01-02,117,25646.075,3.5
2022-01-03,22,11529.91,3.5
2022-01-03,11,0.0,0.0
2022-01-03,6,0.0,0.0
2022-01-03,41,0.0,0.0
2022-01-03,44,37932.51,3.5
2022-01-03,9,25796.575,3.5
2022-01-03,10,0.0,0.0
2022-01-03,4,37328.79500000001,3.5
2022-01-03,3,19736.29,7.0
2022-01-03,2,14750.435,3.5
2022-01-03,25,15526.21,3.5
2022-01-03,26,0.0,0.0
2022-01-03,13,29114.435,3.5
2022-01-03,14,28756.77,3.5
2022-01-03,18,0.0,0.0
2022-01-03,7,0.0,0.0
2022-01-03,71,8870.68,3.5
2022-01-03,81,7887.950000000001,3.5
2022-01-03,39,31312.925,7.0
2022-01-03,1,22718.185,14.0
2022-01-03,118,0.0,0.0
2022-01-03,0,46790.065,21.0
2022-01-03,5,11040.295,3.5
2022-01-03,40,0.0,0.0
2022-01-03,21,24283.98,3.5
2022-01-03,12,103201.245,10.5
2022-01-03,58,64027.60000000001,7.0
2022-01-03,59,46265.975,3.5
2022-01-03,16,0.0,0.0
2022-01-03,53,0.0,0.0
2022-01-03,126,0.0,0.0
2022-01-03,68,23821.07,3.5
2022-01-04,22,11529.91,3.5
2022-01-04,100,22183.21,3.5
2022-01-04,11,32864.86,7.0
2022-01-04,6,42483.0,7.0
2022-01-04,24,31266.34,3.5
2022-01-04,41,35913.71,3.5
2022-01-04,15,58271.535,10.5
2022-01-04,9,157033.24,21.0
2022-01-04,10,108204.215,14.0
2022-01-04,4,36208.935,3.5
2022-01-04,3,0.0,0.0
2022-01-04,2,37834.86,10.5
2022-01-04,23,23777.25,3.5
2022-01-04,29,0.0,0.0
2022-01-04,26,150800.51,28.0
2022-01-04,99,0.0,0.0
2022-01-04,13,21459.305,3.5
2022-01-04,14,27318.935,3.5
2022-01-04,18,43372.035,3.5
2022-01-04,19,52793.86,14.0
2022-01-04,94,11554.69,3.5
2022-01-04,7,15777.685,3.5
2022-01-04,27,18595.605,3.5
2022-01-04,30,0.0,0.0
2022-01-04,71,8870.68,3.5
2022-01-04,80,0.0,0.0
2022-01-04,34,0.0,0.0
2022-01-04,35,11643.52,3.5
2022-01-04,39,15656.48,3.5
2022-01-04,211,0.0,0.0
2022-01-04,1,0.0,0.0
2022-01-04,84,5397.84,3.5
2022-01-04,0,91714.52500000001,42.0
2022-01-04,5,28318.325,10.5
2022-01-04,37,0.0,0.0
2022-01-04,21,0.0,0.0
2022-01-04,20,30771.3,3.5
2022-01-04,12,33354.825,3.5
2022-01-04,64,35605.15,3.5
2022-01-04,54,44038.365,3.5
2022-01-04,33,57329.475,3.5
2022-01-04,16,65668.75,3.5
2022-01-04,8,136894.45,7.0
2022-01-04,137,0.0,0.0
2022-01-04,67,0.0,0.0
2022-01-04,124,0.0,0.0
2022-01-05,22,0.0,0.0
2022-01-05,63,0.0,0.0
2022-01-05,6,23601.69,3.5
2022-01-05,15,19423.845,3.5
2022-01-05,9,0.0,0.0
2022-01-05,4,0.0,0.0
2022-01-05,3,9868.145,3.5
2022-01-05,2,42112.49,10.5
2022-01-05,25,45843.21,10.5
2022-01-05,28,11227.02,3.5
2022-01-05,29,15471.54,3.5
2022-01-05,26,24234.385,3.5
2022-01-05,13,26202.96,3.5
2022-01-05,14,54637.87,7.0
2022-01-05,18,0.0,0.0
2022-01-05,19,11833.29,3.5
2022-01-05,7,18510.87,3.5
2022-01-05,27,22766.38,3.5
2022-01-05,30,21847.84,3.5
2022-01-05,35,34930.595,10.5
2022-01-05,1,5974.675,3.5
2022-01-05,17,7736.645,3.5
2022-01-05,0,45503.885,21.0
2022-01-05,5,9958.34,3.5
2022-01-05,40,0.0,0.0
2022-01-05,12,63915.11,7.0
2022-01-05,64,39505.79500000001,3.5
2022-01-05,116,64052.41499999999,3.5
2022-01-05,31,0.0,0.0
2022-01-05,16,51285.71,3.5
2022-01-05,8,139614.09,7.0
2022-01-05,177,178693.83,3.5
2022-01-05,175,0.0,0.0
2022-01-06,6,0.0,0.0
2022-01-06,32,0.0,0.0
2022-01-06,24,31266.34,3.5
2022-01-06,41,0.0,0.0
2022-01-06,15,22717.94,3.5
2022-01-06,9,25796.575,3.5
2022-01-06,10,56426.825,7.0
2022-01-06,4,73533.18,7.0
2022-01-06,3,41146.105,14.0
2022-01-06,2,37834.86,10.5
2022-01-06,23,0.0,0.0
2022-01-06,28,0.0,0.0
2022-01-06,13,53706.03,7.0
2022-01-06,7,31555.37,7.0
2022-01-06,55,54942.965,3.5
2022-01-06,61,0.0,0.0
2022-01-06,47,0.0,0.0
2022-01-06,1,4215.295,3.5
2022-01-06,17,7736.645,3.5
2022-01-06,0,30335.935,14.0
2022-01-06,5,20479.725,7.0
2022-01-06,21,0.0,0.0
2022-01-06,12,65553.95,7.0
2022-01-06,59,35678.23,3.5
2022-01-06,45,91050.36499999999,3.5
2022-01-06,16,0.0,0.0
2022-01-06,8,0.0,0.0
2022-01-06,216,0.0,0.0
2022-01-06,68,22782.48,3.5
2022-01-07,11,16996.875,3.5
2022-01-07,41,36915.515,3.5
2022-01-07,42,0.0,0.0
2022-01-07,15,46148.935,7.0
2022-01-07,9,49013.475,7.0
2022-01-07,10,28827.015,3.5
2022-01-07,4,37328.79500000001,3.5
2022-01-07,3,0.0,0.0
2022-01-07,2,14916.755,3.5
2022-01-07,57,0.0,0.0
2022-01-07,13,0.0,0.0
2022-01-07,19,12456.08,3.5
2022-01-07,7,104299.65,14.0
2022-01-07,30,0.0,0.0
2022-01-07,38,0.0,0.0
2022-01-07,80,0.0,0.0
2022-01-07,35,11643.52,3.5
2022-01-07,48,0.0,0.0
2022-01-07,1,42704.165,35.0
2022-01-07,17,7736.645,3.5
2022-01-07,0,37919.7,17.5
2022-01-07,5,10469.025,3.5
2022-01-07,21,0.0,0.0
2022-01-07,12,35444.605,3.5
2022-01-07,176,16621.99,3.5
2022-01-07,33,0.0,0.0
2022-01-07,83,61885.425,3.5
2022-01-07,8,64127.105,3.5
2022-01-07,137,0.0,0.0
2022-01-07,68,26467.84,3.5
2022-01-08,93,41227.48,3.5
2022-01-08,167,11890.06,3.5
2022-01-08,11,16996.875,3.5
2022-01-08,6,21846.02,3.5
2022-01-08,32,21841.435,3.5
2022-01-08,75,0.0,0.0
2022-01-08,41,73831.03,7.0
2022-01-08,44,0.0,0.0
2022-01-08,42,0.0,0.0
2022-01-08,15,68153.82,10.5
2022-01-08,9,51593.15,7.0
2022-01-08,10,76631.695,10.5
2022-01-08,4,190490.37,17.5
2022-01-08,3,115061.52,35.0
2022-01-08,2,0.0,0.0
2022-01-08,23,0.0,0.0
2022-01-08,13,0.0,0.0
2022-01-08,18,0.0,0.0
2022-01-08,19,45084.79500000001,14.0
2022-01-08,7,15777.685,3.5
2022-01-08,27,15927.065,3.5
2022-01-08,30,60990.965,7.0
2022-01-08,56,7493.395,3.5
2022-01-08,38,6740.895,3.5
2022-01-08,80,0.0,0.0
2022-01-08,1,34334.685,28.0
2022-01-08,0,24038.0,10.5
2022-01-08,5,22713.46,7.0
2022-01-08,40,15171.135,3.5
2022-01-08,199,0.0,0.0
2022-01-08,66,0.0,0.0
2022-01-08,105,19319.685,3.5
2022-01-08,31,0.0,0.0
2022-01-08,16,0.0,0.0
2022-01-08,8,0.0,0.0
2022-01-08,121,247978.36,3.5
2022-01-08,188,293926.675,7.0
2022-01-08,183,0.0,0.0
2022-01-08,173,0.0,0.0
2022-01-09,22,10618.23,3.5
2022-01-09,63,0.0,0.0
2022-01-09,11,33993.75,7.0
2022-01-09,42,49845.845,3.5
2022-01-09,9,50303.32999999999,7.0
2022-01-09,10,28827.015,3.5
2022-01-09,4,79647.82,7.0
2022-01-09,3,10924.13,3.5
2022-01-09,2,69966.96,17.5
2022-01-09,25,16688.455,3.5
2022-01-09,18,34965.98,3.5
2022-01-09,19,0.0,0.0
2022-01-09,94,13514.235,3.5
2022-01-09,7,52809.925,7.0
2022-01-09,27,28829.605,3.5
2022-01-09,30,81335.38,7.0
2022-01-09,56,0.0,0.0
2022-01-09,1,21076.475,17.5
2022-01-09,0,37919.7,17.5
2022-01-09,5,20938.05,7.0
2022-01-09,96,0.0,0.0
2022-01-09,21,0.0,0.0
2022-01-09,12,35444.605,3.5
2022-01-09,59,54778.675,3.5
2022-01-09,8,87005.73,3.5
2022-01-10,22,0.0,0.0
2022-01-10,11,16996.875,3.5
2022-01-10,6,21846.02,3.5
2022-01-10,32,0.0,0.0
2022-01-10,24,37276.575,3.5
2022-01-10,44,0.0,0.0
2022-01-10,9,77389.72499999999,10.5
2022-01-10,4,160666.66,14.0
2022-01-10,3,22608.495,7.0
2022-01-10,2,59470.74,14.0
2022-01-10,28,23635.85,7.0
2022-01-10,29,14260.82,3.5
2022-01-10,13,18814.075,3.5
2022-01-10,18,28123.06,3.5
2022-01-10,7,23775.045,3.5
2022-01-10,38,0.0,0.0
2022-01-10,108,19428.01,3.5
2022-01-10,1,16861.18,14.0
2022-01-10,0,61957.7,28.0
2022-01-10,5,33029.85,10.5
2022-01-10,21,0.0,0.0
2022-01-10,20,28830.095,3.5
2022-01-10,95,24014.83,3.5
2022-01-10,12,0.0,0.0
2022-01-10,178,0.0,0.0
2022-01-10,105,19319.685,3.5
2022-01-10,33,0.0,0.0
2022-01-10,45,130270.315,3.5
2022-01-10,31,46569.81,3.5
2022-01-10,16,0.0,0.0
2022-01-10,8,0.0,0.0
2022-01-10,189,0.0,0.0
2022-01-10,193,0.0,0.0
2022-01-11,22,12531.47,3.5
2022-01-11,11,35782.845,7.0
2022-01-11,6,23532.355,3.5
2022-01-11,41,0.0,0.0
2022-01-11,44,0.0,0.0
2022-01-11,15,22717.94,3.5
2022-01-11,9,0.0,0.0
2022-01-11,10,91369.845,10.5
2022-01-11,4,37328.79500000001,3.5
2022-01-11,3,21848.26,7.0
2022-01-11,86,11219.32,3.5
2022-01-11,2,13550.46,3.5
2022-01-11,23,20634.775,3.5
2022-01-11,28,12069.19,3.5
2022-01-11,29,0.0,0.0
2022-01-11,49,0.0,0.0
2022-01-11,57,0.0,0.0
2022-01-11,13,18814.075,3.5
2022-01-11,14,0.0,0.0
2022-01-11,18,26906.32,3.5
2022-01-11,19,22687.525,3.5
2022-01-11,7,16608.095,3.5
2022-01-11,34,6749.575,3.5
2022-01-11,46,31250.73,3.5
2022-01-11,69,0.0,0.0
2022-01-11,35,11643.52,3.5
2022-01-11,39,15656.48,3.5
2022-01-11,48,0.0,0.0
2022-01-11,90,0.0,0.0
2022-01-11,1,46372.69,38.5
2022-01-11,0,43098.755,21.0
2022-01-11,5,33121.305,10.5
2022-01-11,40,0.0,0.0
2022-01-11,37,0.0,0.0
2022-01-11,21,24235.4,3.5
2022-01-11,200,0.0,0.0
2022-01-11,62,0.0,0.0
2022-01-11,60,11894.4,3.5
2022-01-11,72,30346.855,3.5
2022-01-11,54,0.0,0.0
2022-01-11,119,54868.52,3.5
2022-01-11,116,64052.41499999999,3.5
2022-01-11,98,59482.78000000001,3.5
2022-01-11,16,110765.27,7.0
2022-01-11,8,53641.105,3.5
2022-01-11,153,196967.82,3.5
2022-01-11,169,0.0,0.0
2022-01-12,15,19423.845,3.5
2022-01-12,9,0.0,0.0
2022-01-12,4,43659.42000000001,3.5
2022-01-12,3,21302.05,7.0
2022-01-12,86,11219.32,3.5
2022-01-12,2,0.0,0.0
2022-01-12,25,16688.455,3.5
2022-01-12,23,0.0,0.0
2022-01-12,26,14477.575,3.5
2022-01-12,13,20329.645,3.5
