product,Cadereyta total libreImpuestos,Cadereyta Ctdad Ordenada,Coahuila total libreImpuestos,Coahuila Ctdad Ordenada,Durango total libreImpuestos,Durango Ctdad Ordenada,Expos F total libreImpuestos,Expos F Ctdad Ordenada,Laredo total libreImpuestos,Laredo Ctdad Ordenada,Monterrey total libreImpuestos,Monterrey Ctdad Ordenada,Online total libreImpuestos,Online Ctdad Ordenada,Queretaro total libreImpuestos,Queretaro Ctdad Ordenada,Reynosa total libreImpuestos,Reynosa Ctdad Ordenada,San Luis total libreImpuestos,San Luis Ctdad Ordenada,Total libreImpuestos,Ctdad Ordenada,fecha
Producto 1,,,15389.535,3.5,,,,,,,,,,,,,,,,,15389.535,3.5,01 abr 2022
Producto 2,,,,,,,,,,,35295.68,7,,,,,,,,,35295.68,7,01 abr 2022
Producto 3,,,37488.07999999999,7,,,,,,,125660.64,24.5,,,18528.895,3.5,,,18528.895,3.5,200206.51,38.5,01 abr 2022
Producto 4,,,,,,,,,25080.09,3.5,,,,,,,,,,,25080.09,3.5,01 abr 2022
Producto 5,,,,,,,,,,,28057.33,3.5,,,,,,,,,28057.33,3.5,01 abr 2022
Producto 6,,,28754.95,3.5,,,,,,,,,,,,,,,,,28754.95,3.5,01 abr 2022
Producto 7,,,20082.755,3.5,,,,,,,,,,,,,,,23628.08,3.5,43710.835,7,01 abr 2022
Producto 8,,,26609.065,3.5,26609.065,3.5,,,28580.09,3.5,,,,,26765.375,3.5,,,,,108563.595,14,01 abr 2022
Producto 9,,,,,,,,,29460.34,3.5,,,,,29460.34,3.5,,,,,58920.68,7,01 abr 2022
Producto 10,,,,,,,,,,,73531.185,7,,,,,41338.885,3.5,83772.64,7,198642.71,17.5,01 abr 2022
Producto 11,,,,,,,,,,,11834.48,3.5,,,26087.74,7,,,,,37922.22,10.5,01 abr 2022
Producto 12,,,58672.32,17.5,,,,,,,,,,,,,,,,,58672.32,17.5,01 abr 2022
Producto 13,,,18798.885,3.5,,,,,,,,,,,,,,,,,18798.885,3.5,01 abr 2022
